web-scraper-order,web-scraper-start-url,class,class-href,title,price,rating,brand,operating system,model name,cellular technology
"1705169160-1","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Oneplus Nord CE 3 5G (Grey Shimmer, 8GB RAM, 128GB Storage)","https://www.amazon.in/Oneplus-Nord-Shimmer-128GB-Storage/dp/B0C9QPJY5R/ref=sr_1_84?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-84","Oneplus Nord CE 3 5G (Grey Shimmer, 8GB RAM, 128GB Storage)","24,999","7,653 ratings","OnePlus","OxygenOS","Nord CE 3 Lite 5G","5G, 4G LTE"
"1705169169-2","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever","https://www.amazon.in/Redmi-Stealth-Storage-Dimensity-Slimmest/dp/B0CQPHMWR3/ref=sr_1_83?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-83","Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever","17,998","","Redmi","Android 13, MIUI 14","Redmi Note 13 5G","5G"
"1705169178-3","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B09WQYFLRX/ref=sr_1_82?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-82","OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","17,999","142,085 ratings","OnePlus","OxygenOS","Nord CE 2 Lite 5G","5G, 4G LTE"
"1705169186-4","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android","https://www.amazon.in/Lava-Viridian-Dimensity-Processor-Superfast/dp/B0C467KFNM/ref=sr_1_81?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-81","Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android","19,999","3,606 ratings","Lava","Android 13.0","Lava Agni 2 5G","5G"
"1705169194-5","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","POCO C51 (Power Black, 4GB RAM, 64GB Storage)","https://www.amazon.in/Poco-C51-Power-Black-RAM/dp/B0C1SXGSH4/ref=sr_1_80?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-80","POCO C51 (Power Black, 4GB RAM, 64GB Storage)","5,798","80 ratings","POCO","Android 13.0","POCO C51","4G"
"1705169204-6","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Lava Storm 5G (Gale Green, 8GB RAM, 128GB ROM)|50MP+8MP Ultrawide Dual Camera|16MP FrontCamera|6.78"" FHD+ Punch Hole Display|5000 mAh Battery|33W Fast Charging|Upto 16GB ExpandableRAM|Clean Android","https://www.amazon.in/Lava-Ultrawide-FrontCamera-Charging-ExpandableRAM/dp/B0CHM729GT/ref=sr_1_79?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-79","Lava Storm 5G (Gale Green, 8GB RAM, 128GB ROM)|50MP+8MP Ultrawide Dual Camera|16MP FrontCamera|6.78"" FHD+ Punch Hole Display|5000 mAh Battery|33W Fast Charging|Upto 16GB ExpandableRAM|Clean Android","12,499","128 ratings","Lava","Android 13.0","Lava Storm 5G","5G"
"1705169214-7","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","https://www.amazon.in/realme-Display-Premium-Leather-SUPERVOOC/dp/B0C787P8BV/ref=sr_1_78?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-78","realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","17,999","5,410 ratings","realme","Android 13.0","realme narzo 60 5G","5G, 4G LTE"
"1705169224-8","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","iQOO Z7s 5G by vivo (Norway Blue, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","https://www.amazon.in/iQOO-Storage-Snapdragon-Processor-44WFlashCharge/dp/B07WHS7MZ4/ref=sr_1_77?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-77","iQOO Z7s 5G by vivo (Norway Blue, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","14,999","12,839 ratings","iQOO","Funtouch OS 13 Based On Android 13","iQOO Z7s 5G by vivo","5G"
"1705169234-9","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Vivo Y17s (Glitter Purple, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","https://www.amazon.in/Vivo-Glitter-Storage-Additional-Exchange/dp/B07WGNXGB3/ref=sr_1_74?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-74","Vivo Y17s (Glitter Purple, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,499","75 ratings","Vivo","FunTouch OS 13 (Android 13 edition)","Y17s","LTE"
"1705169245-10","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OnePlus Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Bahamas-128GB-Storage/dp/B09RG5R5FG/ref=sr_1_73?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-73","OnePlus Nord CE 2 5G (Bahamas Blue, 8GB RAM, 128GB Storage)","19,999","142,085 ratings","OnePlus","OxygenOS","Nord CE 2 5G","5G"
"1705169256-11","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","iQOO Z7 Pro 5G (Graphite Matte, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone","https://www.amazon.in/iQOO-Graphite-MediaTek-Processor-Smartphone/dp/B07WFPLDPR/ref=sr_1_72?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-72","iQOO Z7 Pro 5G (Graphite Matte, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone","23,999","6,816 ratings","iQOO","Funtouch OS 13 Based On Android 13","iQOO Z7 Pro 5G","5G"
"1705169265-12","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Samsung Galaxy M34 5G (Waterfall Blue,8GB,256GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","https://www.amazon.in/Samsung-Waterfall-sAMOLED-Display-Security/dp/B0CHJ4CS3K/ref=sr_1_71?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-71","Samsung Galaxy M34 5G (Waterfall Blue,8GB,256GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","19,999","10,658 ratings","Samsung","Android 13.0","Samsung Galaxy M34 5G","5G"
"1705169276-13","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","TECNO Spark GO 2024 (Gravity Black,8GB* RAM, 64GB ROM)| Segment First 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS| 5000mAh| 10W Type-C| Fingerprint Sensor| Octa-Core Processor","https://www.amazon.in/Gravity-Speakers-Fingerprint-Octa-Core-Processor/dp/B0CMZN8MYN/ref=sr_1_70?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-70","TECNO Spark GO 2024 (Gravity Black,8GB* RAM, 64GB ROM)| Segment First 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS| 5000mAh| 10W Type-C| Fingerprint Sensor| Octa-Core Processor","6,999","144 ratings","Tecno","Android 13.0","Spark Go 2024","4G"
"1705169286-14","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","realme narzo 60 5G (Cosmic Black,8GB+128GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger","https://www.amazon.in/realme-Cosmic-Display-SUPERVOOC-Charger/dp/B0C78869XJ/ref=sr_1_69?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-69","realme narzo 60 5G (Cosmic Black,8GB+128GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger","16,249","5,410 ratings","realme","Android 13.0","realme narzo 60 5G","5G, 4G LTE"
"1705169296-15","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Black-128GB-Storage/dp/B09WQY65HN/ref=sr_1_68?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-68","OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","17,999","142,085 ratings","OnePlus","OxygenOS","Nord CE 2 Lite 5G","5G"
"1705169305-16","https://www.amazon.in/s?k=mobiles&page=5&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi A2 (Classic Black, 2GB RAM, 64GB Storage)","https://www.amazon.in/Redmi-Classic-Black-64GB-Storage/dp/B0C74KRMHW/ref=sr_1_67?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169147&sprefix=%2Caps%2C185&sr=8-67","Redmi A2 (Classic Black, 2GB RAM, 64GB Storage)","5,299","7,061 ratings","Redmi","Android 13 Go, Android 13.0","Redmi A2","4G"
"1705169316-17","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi 13C (Stardust Black, 8GB RAM, 256GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTWQYFM/ref=sr_1_68?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-68","Redmi 13C (Stardust Black, 8GB RAM, 256GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","11,499","305 ratings","Xiaomi","MIUI 14, Android 13.0","Redmi 13C","4G"
"1705169328-18","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Pastel-128GB-Storage/dp/B0BY8JZ22K/ref=sr_1_67?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-67","OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)","19,998","40,561 ratings","OnePlus","OxygenOS","Nord CE 3 Lite 5G","5G"
"1705169338-19","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","vivo Y27 (Burgundy Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","https://www.amazon.in/Burgundy-Storage-Additional-Exchange-Offers/dp/B07WGPKTST/ref=sr_1_66?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-66","vivo Y27 (Burgundy Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","12,999","237 ratings","Vivo","FunTouch OS 13","Y27","LTE"
"1705169349-20","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Samsung Galaxy S21 FE 5G (Graphite, 8GB, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Graphite-128GB-Storage/dp/B09P7G7Y95/ref=sr_1_65?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-65","Samsung Galaxy S21 FE 5G (Graphite, 8GB, 128GB Storage)","30,990","1,459 ratings","Samsung","Android 12.0","Samsung Galaxy S21 FE 5G (Graphite, 8GB, 128GB Storage)","5G"
"1705169356-21","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","POCO C51 (Royal Blue, 4GB RAM, 64GB Storage)","https://www.amazon.in/Poco-C51-Royal-Blue-RAM/dp/B0C1SG2JRF/ref=sr_1_64?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-64","POCO C51 (Royal Blue, 4GB RAM, 64GB Storage)","5,799","50 ratings","POCO","Android 13.0","POCO C51","4G"
"1705169367-22","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi 12 5G Moonstone Silver 8GB RAM 256GB ROM","https://www.amazon.in/Redmi-Moonstone-Silver-8GB-256GB/dp/B0C9JFM6X6/ref=sr_1_63?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-63","Redmi 12 5G Moonstone Silver 8GB RAM 256GB ROM","14,999","10,227 ratings","Redmi","MIUI 14, Android 13.0","Redmi 12","5G"
"1705169375-23","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OPPO A18 (Glowing Blue, 4GB RAM, 64GB Storage) | 6.56"" HD 90Hz Waterdrop Display | 5000 mAh Battery with No Cost EMI/Additional Exchange Offers","https://www.amazon.in/Glowing-Storage-Waterdrop-Additional-Exchange/dp/B0CJSRBBTH/ref=sr_1_62?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-62","OPPO A18 (Glowing Blue, 4GB RAM, 64GB Storage) | 6.56"" HD 90Hz Waterdrop Display | 5000 mAh Battery with No Cost EMI/Additional Exchange Offers","9,999","64 ratings","Oppo","Android 13.0","A18","LTE"
"1705169383-24","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","TECNO POP 8 (Gravity Black,(8GB*+64GB)| 90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","https://www.amazon.in/Gravity-Speakers-Fingerprint-Octa-Core-Processor/dp/B0CQ7RQ5RK/ref=sr_1_61?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-61","TECNO POP 8 (Gravity Black,(8GB*+64GB)| 90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","6,499","38 ratings","Tecno","Android 13.0","POP 8","4G"
"1705169392-25","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Redmi 12 5G Pastel Blue 8GB RAM 256GB ROM","https://www.amazon.in/Redmi-Pastel-Blue-8GB-256GB/dp/B0C9JFBGSJ/ref=sr_1_58?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-58","Redmi 12 5G Pastel Blue 8GB RAM 256GB ROM","14,999","10,227 ratings","Redmi","MIUI 14, Android 13.0","Redmi 12","5G"
"1705169400-26","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","Samsung Galaxy S23 5G (Lavender, 8GB, 256GB Storage)","https://www.amazon.in/Samsung-Galaxy-Lavender-256GB-Storage/dp/B0BRSL2XWP/ref=sr_1_57?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-57","Samsung Galaxy S23 5G (Lavender, 8GB, 256GB Storage)","69,999","1,313 ratings","Samsung","Android 13.0","Galaxy S23","5G, 4G LTE"
"1705169409-27","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)","https://www.amazon.in/OnePlus-Nord-Surge-128GB-Storage/dp/B0C9QS5G2R/ref=sr_1_56?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-56","OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)","24,999","7,653 ratings","OnePlus","OxygenOS","Nord CE 3 Lite 5G","5G"
"1705169419-28","https://www.amazon.in/s?k=mobiles&page=4&crid=1EZL50YFX4LM1&qid=1705168175&sprefix=%2Caps%2C185&ref=sr_pg_2","OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)","https://www.amazon.in/OnePlus-Forest-Green-Storage-SuperVOOC/dp/B09WRMNJ9G/ref=sr_1_55?crid=1EZL50YFX4LM1&keywords=mobiles&qid=1705169305&sprefix=%2Caps%2C185&sr=8-55","OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)","34,999","18,638 ratings","OnePlus","OxygenOS","OnePlus 10R","5G, 4G LTE"
